word    count	
#MeToo	1
'I	1
'We	1
'What	1
'millennials	1
-	18
:	1
:Nvidias	1
@borenbears	1
@matthewbrownap___This	1
@spagov	1
A.I	1
A.I.T	1
A.V	1
AB	1
ABM	2
ADOPTION	1
ALIThe	2
AMD	1
AMERICASIf	1
ANC	1
ANGELES	1
ANNANThe	2
ANWAR	2
AP	8
ARM	1
ASIAEven	1
AT&T	2
Aaron	1
Abdel-Atti	1
Abdel-Fattah	7
Abdel-Lateef	1
Abinaya	1
Abroad	1
Academy	1
Accelerator".Brito	1
According	2
Act	4
Act.A	1
Act.___	1
Action	1
Action.The	1
Adam	1
Additional	1
Adkins	1
Adkinss	1
Adss	1
Advanced	1
Advances	1
Affairs	2
Affairs."It	1
Afghanistan	1
Africa	8
Africa;	1
African	4
African-American	2
Again.A	1
Agency	8
AggregateIQ	1
Ah	2
Ahmed	3
Airbus	4
Airlines	8
Airlines.After	1
Airways	2
Ajover	1
Akl	1
Akzo	1
Al	2
Al-Ahram	1
Alaska	3
Alaskan	2
Albert	2
Alberto	1
Aleksei	1
Alex	1
Alexandria	2
Ali	4
Alibaba	1
Alien	1
Alison	1
Alister	3
Allen	3
Alliance	1
Alone	1
Alphabet	1
Also	1
Alsup	6
Although	2
Amandine	1
Amazon	5
Ambassador	2
America	11
America."We	1
America.The	1
American	42
American-dominated	1
Americans	4
Americas	14
Americas;	1
Amman	4
Amur	1
Analytica	3
Analytica?Critics	1
Analytics	1
Anan	1
Anatoly	1
Anbang	1
Andean	1
Anderson	2
Andrew	4
Andy	2
Angel	1
Angeles	2
Angeles.The	1
Angels	2
Anglo	2
Anheuser-Busch	2
Animals	1
Anke	1
Anna	2
Anne	3
Another	3
Anthony	1
Anti-graft	2
Antiballistic	3
Antitrust	1
Antonio	2
Antonov	1
Anwar	4
Anyone	1
Appeals	1
April	2
Aquino;	1
Arab	6
Archer	1
Arctic	2
Argentina.Almost	1
Arizona	2
Arms	1
Army	2
Around	2
Art	1
Artois	1
Asia	8
Asia-Pacific	2
Asia-Pacific.And	1
Asia.However	1
Asia;	1
Asian	7
Asians	1
Asias	1
Asked	2
Ass	1
Assembly	9
Asset	1
Assistant	1
Associate	1
Associated	3
Association	1
Association."To	1
Astoria	1
Atlanta	1
Attaching	1
Attorney	2
Audi	1
August	1
Augustus	1
Aurora	1
Australia	5
Australia."Rio	1
Australian	4
Authorities	2
Avaaz	3
Aviation	1
Avinor	3
Avon	1
B	1
BAM	1
BAMkids	1
BASF	3
BASF.The	1
BBC	1
BENGALURU/LONDON	1
BILLINGS	1
BLM	3
BOOK	1
BP	2
BRUSSELS	1
Back	1
Baltimore	1
Bank	12
Banks	11
Barbara	1
Barcelona	1
Barington	1
Barker	1
Barnum	1
Barred	1
Barry	2
Barry.”	1
Bart	1
Bartz	1
Basil	2
Basin	5
Basin.In	1
Bay	3
Bayer	4
Bayou	1
Beam	1
Bean	1
Becerra	1
Beijing	4
Beijings	2
Bel	1
Belgium	2
Belgium-based	1
Ben	4
Bend	3
Bengaluru;	1
Benjamin	1
Benoit	1
Benoit-Bird	1
Berkaya	1
Berlin	2
Berlin;	1
Bernstein	1
Best	4
Betting	1
Big	8
Big:	1
Bigio	1
Bill	7
Biloxi-Chitimacha-Choctaw	3
Binary	1
Biodiversity	2
Biological	1
Birol	1
Bitcoin	1
Black	3
BlackRock	7
Blackmun	2
Blackmun:	1
Blankfein	1
Bloomberg	1
BloombergView)Wed	1
Board	2
Bob	1
Boeing	2
Boeing."In	1
Bolshevik	2
Bolsheviks	1
Bolton	27
Bolton.Mr	1
Boltons	5
Bonaparte	1
Bond	3
Bone	1
Borealis	1
Borenstein	1
Borincano	2
Borinquen	1
Boris	1
Borne	1
Bose	1
Bourguignon	2
Boutrous	3
Boy	1
Brad	2
Brandenburg	2
Brandis	1
Brands	4
Brazil	1
Brazilian	1
Breakingviews	1
Brent	1
Brexit	1
Brian	5
Bridge	4
Briefing	2
Brigitte	1
Bristol	1
Britain	20
Britain.Canada	1
Britains	2
British	8
Brito	2
Brooke	1
Brookfield	1
Brooklyn	3
Brotherhood	2
Brown	12
Brownsey	4
Browse	1
Brussels	3
Buckingham	2
Budweiser	1
Buffalo	2
Building	3
Bunsen	2
Bureau	6
Bush	10
Bushs	3
Business	5
Buuel	1
Buy	5
Buyers	1
BuzzFeed	1
Byron	4
C	3
C.E.O	6
C.E.O.	3
C.E.O.s	1
CAIRO	4
CBS	1
CDP	1
CENTRAL	1
CEO	6
CFRA	1
CHEYENNE	2
CLUB	1
CNBC	1
CNET.com	1
CO2	1
COLONIZE	1
COMMITTEE	1
CROOKS:	1
CVS	1
Cairo	12
Cairo:	1
CalPERS	1
Caleb	1
Calif	2
California	16
Cambridge	4
Cambridges	1
Canada	4
Canadian	1
Canadians	1
Canario	1
Canyon	16
Capital	2
Capital:	1
Capitol	1
Carles	2
Carlos	1
Carlyle	1
Carme	1
Carolina	2
Castle	2
Catalan	16
Catalans	1
Catalonia	7
Cathedral	2
Catherine	1
Cause	1
Cayman	1
Center	4
Center.As	1
Centers	1
Central	6
Cervantes	1
Cespedes	1
Chad	2
Challenger	1
Chalmers	1
Chamber	3
Change	1
Change.For	1
Channel	2
Charles	5
Charlie	1
Chase	4
Chee	1
ChemChina	1
Chemical	1
Chen	1
Cheney	2
Chepa	1
Chestney;	1
Chevron	8
Chicago	3
Chicagoan	1
Chicken	1
Chief	2
China	43
China.But	1
China.Last	1
Chinas	6
Chinese	20
Chongqing	1
Christian	2
Christmas	1
Christopher	3
Circuit	1
Circus	4
Cisco	1
Citadel	2
Citigroup	1
Citis	1
Citron	1
City	9
City).The	1
Clara	2
Clare	1
Clifford	3
Climate	3
Clinton	7
Clinton.McFadden	1
Clment	1
Club	2
Co	4
Coal	7
CoalSwarm	2
Coalition	1
Coast	9
Coasts	1
Cohen	1
Cohn	1
Coke	1
Cold	12
Colin	1
College	4
Colombia	2
Columbia	1
Commerce	3
Commission	8
Commissioner	2
Committee	2
Common	1
Communications	1
Communist	4
Community	1
Companies	1
Company	3
Compare	1
Competition	1
Composite	1
Comptroller	1
Concert	1
Condoleezza	1
Conference	1
Confidence	1
Congress	13
Connie	1
ConocoPhillips	2
Conservancy	1
Conservation	2
Consider	1
Conspiracy	1
Constitution	3
Consulate	1
Consumer	1
Contact	1
Control	1
Conway	1
Cooper	3
Corbat	1
Corne	1
Corona	1
Corp	2
Corps	2
Cossack	1
Council	7
Council.In	1
County	5
Court	4
Coutts	1
Credit-card	1
Creek	1
Crespy	2
Crews	2
Crimea	2
Critics	1
Crooks	1
Crown	1
Cryan	4
Cuban-style	1
Cui	2
Cuixart.Puigdemont	1
Cullman	1
Cuts	1
Cynthia	2
D.E	1
DAY	1
DEMOGRAPHICNatalie	1
DOR-E.That	1
Dag	1
Dalian	1
Dallas	1
Damage	1
Damiana;	1
Dan	3
Daniels	3
Danielss	1
Danny	1
Danon	1
Darnel	1
Data	1
David	2
Davis	1
Day	4
Decade	1
December	13
December.___TWISTARS	1
Declines	2
Deep	1
Deep-sea	1
Defense	3
Degradation	1
Delevoye	2
Delhi	4
Delicate	1
Democrat	1
Democratic	6
Democrats	7
Demographic	1
Denmark	1
Dennis	1
Denver	2
Denver-based	1
Department	9
Departments	1
Depression	2
Deputy	1
Derek	1
Desert	1
Desertification	1
Designs	1
Despite	1
Deti	1
Deutsche	13
Development	6
Devoted	1
DiNapoli	1
Diane	1
Dick	3
Dickinson	1
Dicks	1
Diego	1
Director	2
District	8
Division	1
Donald	10
Donne	1
Dont	1
Dorsey	1
Douer	2
Doug	1
Douglas	2
Dow	7
Doyle;	3
Drought	1
Druridge	1
Duane	1
Ducey	1
Dudley	9
Dudleys	2
Dump	1
Dupont	1
Dutch	3
Dye	1
Dynamic	1
Dziba	1
